0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-75825.406250,-65690.054688,-55124.363281,-18950.166016,-76852.265625,-21131.941406,-187500.015625,-187500.015625
-75819.953125,-65694.007813,-55108.492188,-18935.591797,-76836.507813,-21121.771484,-187500.015625,-187500.015625
-75814.234375,-65694.367188,-55106.925781,-18935.369141,-76836.820313,-21121.996094,-187500.015625,-187500.015625
-75828.734375,-65697.875000,-55128.207031,-18956.177734,-76859.375000,-21138.246094,-187500.015625,-187500.015625
-75829.343750,-65688.109375,-55130.285156,-18959.107422,-76865.210938,-21143.720703,-187500.015625,-187500.015625
-75834.593750,-65693.453125,-55123.468750,-18950.277344,-76855.109375,-21135.271484,-187500.015625,-187500.015625
-75828.289063,-65697.828125,-55109.789063,-18937.738281,-76840.554688,-21123.605469,-187500.015625,-187500.015625
-75816.890625,-65691.039063,-55101.675781,-18932.330078,-76836.132813,-21119.916016,-187500.015625,-187500.015625
-75827.398438,-65690.140625,-55118.750000,-18946.724609,-76851.125000,-21132.388672,-187500.015625,-187500.015625
-75824.046875,-65679.171875,-55121.480469,-18947.550781,-76852.828125,-21131.740234,-187500.015625,-187500.015625
-75821.960938,-65681.648438,-55112.828125,-18937.089844,-76840.507813,-21122.197266,-187500.015625,-187500.015625
-75813.406250,-65685.625000,-55099.843750,-18924.953125,-76825.890625,-21115.066406,-187500.015625,-187500.015625
-75806.945313,-65684.820313,-55098.210938,-18924.214844,-76825.156250,-21114.261719,-187500.015625,-187500.015625
-75817.382813,-65685.898438,-55117.835938,-18942.566406,-76846.296875,-21127.091797,-187500.015625,-187500.015625
-75815.257813,-65677.000000,-55122.910156,-18948.064453,-76855.289063,-21128.634766,-187500.015625,-187500.015625
-75820.554688,-65683.437500,-55119.824219,-18943.058594,-76847.929688,-21119.984375,-187500.015625,-187500.015625
-75815.953125,-65687.687500,-55106.882813,-18930.228516,-76830.851563,-21106.773438,-187500.015625,-187500.015625
-75810.789063,-65687.171875,-55102.816406,-18928.775391,-76827.148438,-21106.326172,-187500.015625,-187500.015625
-75826.656250,-65691.195313,-55124.093750,-18946.031250,-76845.203125,-21123.716797,-187500.015625,-187500.015625
-75826.703125,-65682.812500,-55128.339844,-18949.583984,-76849.921875,-21129.460938,-187500.015625,-187500.015625
-75828.132813,-65686.765625,-55121.234375,-18942.587891,-76840.960938,-21122.867188,-187500.015625,-187500.015625
-75817.585938,-65688.820313,-55106.593750,-18929.400391,-76825.398438,-21111.667969,-187500.015625,-187500.015625
-75805.359375,-65683.367188,-55100.332031,-18926.339844,-76822.695313,-21111.289063,-187500.015625,-187500.015625
-75814.367188,-65681.828125,-55117.187500,-18944.130859,-76843.437500,-21128.722656,-187500.015625,-187500.015625
-75806.992188,-65669.554688,-55118.035156,-18946.835938,-76849.117188,-21133.439453,-187500.015625,-187500.015625
-75807.390625,-65671.859375,-55109.027344,-18937.648438,-76837.648438,-21124.722656,-187500.015625,-187500.015625
-75802.007813,-65675.992188,-55095.347656,-18922.718750,-76819.296875,-21113.166016,-187500.015625,-187500.015625
-75797.085938,-65675.523438,-55091.394531,-18919.119141,-76815.210938,-21110.015625,-187500.015625,-187500.015625
-75813.468750,-65679.953125,-55110.234375,-18937.335938,-76834.562500,-21123.425781,-187500.015625,-187500.015625
-75813.156250,-65669.335938,-55113.343750,-18941.292969,-76841.359375,-21122.644531,-187500.015625,-187500.015625
-75818.859375,-65676.398438,-55110.703125,-18937.759766,-76836.195313,-21113.054688,-187500.015625,-187500.015625
-75815.039063,-65683.484375,-55099.730469,-18927.949219,-76824.421875,-21100.023438,-187500.015625,-187500.015625
-75808.617188,-65681.421875,-55095.906250,-18926.048828,-76823.031250,-21101.476563,-187500.015625,-187500.015625
-75820.554688,-65682.765625,-55111.621094,-18941.582031,-76839.640625,-21120.095703,-187500.015625,-187500.015625
-75816.468750,-65670.382813,-55111.910156,-18941.046875,-76841.406250,-21123.962891,-187500.015625,-187500.015625
-75818.273438,-65674.429688,-55105.250000,-18932.171875,-76829.492188,-21116.093750,-187500.015625,-187500.015625
-75809.718750,-65675.281250,-55089.804688,-18918.494141,-76812.437500,-21105.232422,-187500.015625,-187500.015625
-75798.046875,-65669.312500,-55080.148438,-18913.173828,-76807.562500,-21098.056641,-187500.015625,-187500.015625
-75807.968750,-65668.617188,-55095.503906,-18929.111328,-76826.875000,-21106.371094,-187500.015625,-187500.015625
-75808.398438,-65660.906250,-55103.304688,-18938.005859,-76839.414063,-21111.826172,-187500.015625,-187500.015625
-75817.781250,-65673.242188,-55106.750000,-18940.554688,-76840.804688,-21114.955078,-187500.015625,-187500.015625
-75804.843750,-65671.125000,-55087.191406,-18920.304688,-76819.500000,-21093.966797,-187500.015625,-187500.015625
-75783.562500,-65657.171875,-55070.605469,-18904.187500,-76803.343750,-21074.945313,-187500.015625,-187500.015625
-75799.765625,-65664.148438,-55095.347656,-18925.310547,-76824.531250,-21095.822266,-187500.015625,-187500.015625
-75801.132813,-65656.367188,-55103.105469,-18931.792969,-76833.335938,-21103.644531,-187500.015625,-187500.015625
-75807.007813,-65663.210938,-55098.968750,-18927.658203,-76825.890625,-21098.503906,-187500.015625,-187500.015625
-75801.000000,-65668.437500,-55084.464844,-18915.810547,-76810.695313,-21089.451172,-187500.015625,-187500.015625
-75795.414063,-65669.132813,-55080.664063,-18915.587891,-76810.562500,-21091.775391,-187500.015625,-187500.015625
